aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,size,suitable_for,colour,merchant_deep_link
3105206689,10944688,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206689&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/85/10944685-1403712637-798622.jpg,50.00,"A simple staple  KG Kurt Geiger present the women's Match Metallic Sandals. Featuring metallic toned T-bar ankle strap and buckle fastening. Complete with flat 1cm heel set upon a synthetic sole. - K.N.    KG Kurt Geiger women's Match Metallic Sandals  Upper  Lining and Sole: Synthetic  Metallic toned T-bar ankle strap  Buckle fastening  Heel height: 1cm","KG Kurt Geiger Women's Match Metallic Sandals - Gold",50.00,GBP50.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Gold,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-match-metallic-sandals-gold-uk-7/eur-40-uk-7/eur-40-gold/10944688.html
3105206665,10944716,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206665&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/14/10944714-1401203936-497754.jpg,59.00,"Chic and sophisticated  Miss KG present the Alba Pointed Toe Heeled Sandals. With a sling back heel and ankle strap fastening  the sandals with pointed toe are set upon a high stiletto heel and synthetic sole. - K.N.    Miss KG women's Alba Pointed Toe Heeled Sandals  Upper  Lining and Sole: Synthetic  Sling back heel  Ankle strap fastening  Pointed toe  Stiletto heel  Heel height: 11cm","Miss KG Women's Alba Pointed Toe Heeled Sandals - Black",65.00,GBP59.00,"Miss KG",5,Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/miss-kg-women-s-alba-pointed-toe-heeled-sandals-black-5-5black/10944716.html
3105206625,10944717,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206625&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/14/10944714-1401203936-497754.jpg,59.00,"Chic and sophisticated  Miss KG present the Alba Pointed Toe Heeled Sandals. With a sling back heel and ankle strap fastening  the sandals with pointed toe are set upon a high stiletto heel and synthetic sole. - K.N.    Miss KG women's Alba Pointed Toe Heeled Sandals  Upper  Lining and Sole: Synthetic  Sling back heel  Ankle strap fastening  Pointed toe  Stiletto heel  Heel height: 11cm","Miss KG Women's Alba Pointed Toe Heeled Sandals - Black",65.00,GBP59.00,"Miss KG",6,Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/miss-kg-women-s-alba-pointed-toe-heeled-sandals-black-6-6black/10944717.html
3105206671,10944723,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206671&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/19/10944719-1401202758-62627.jpg,49.00,"Chic and sophisticated  Miss KG present the Alba Pointed Toe Heeled Sandals. With a sling back heel and ankle strap fastening  the sandals with contrasting pointed toe are set upon a high stiletto heel and synthetic sole. - K.N.    Miss KG women's Alba Pointed Toe Heeled Sandals  Upper  Lining and Sole: Synthetic  Sling back heel  Ankle strap fastening  Pointed toe  Stiletto heel  Heel height: 11cm","Miss KG Women's Alba Pointed Toe Heeled Sandals - Black/Nude",65.00,GBP49.00,"Miss KG",7,Women,Black/Nude,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/miss-kg-women-s-alba-pointed-toe-heeled-sandals-black/nude-7-7black/nude/10944723.html
3105206601,10953269,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206601&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/65/10953265-1401203595-940073.jpg,95.00,"A nod to the nautical  KG Kurt Geiger present the women's Monty Espadrille Wedged Sandals. A stylish option  the ankle strap espadrilles are crafted with fabric upper and woven wedge. Secured with buckle fastening and finished with open heel. - K.N.    KG Kurt Geiger women's Monty Espadrille Wedged Sandals  Upper and Lining: Leather. Sole: Synthetic  Fabric upper and woven wedge  Ankle strap with buckle fastening  Open heel  Heel height: 9cm","KG Kurt Geiger Women's Monty Espadrille Wedged Sandals - Nude",95.00,GBP95.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Nude,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-monty-espadrille-wedged-sandals-nude-uk-7/eur-40-uk-7/eur-40-nude/10953269.html
3105206603,10953278,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206603&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/75/10953275-1404834121-942771.jpg,99.00,"KG Kurt Geiger present the women's Nelly Pony/Espadrille Leopard Print Wedged Sandals. Featuring a pony skin upper adorned with leaopard print  the peep toe sandals boast buckle back fastening  8cm woven wedge base and exposed stitching. - K.N.    KG Kurt Geiger women's Nelly Leather/Espadrille Wedged Sandals  Upper and Lining: Leather. Sole: Synthetic  Pony skin leopard print upper  Peep toe  Buckle back fastening  Heel height: 8cm","KG Kurt Geiger Women's Nelly Pony/Espadrille Leopard Print Wedged Sandals - Tan",99.00,GBP99.00,"KG Kurt Geiger","UK 6/Eur 39",Women,Tan,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-nelly-pony/espadrille-leopard-print-wedged-sandals-tan-uk-6/eur-39-uk-6/eur-39-tan/10953278.html
3105206677,10953282,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206677&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/80/10953280-1404834121-942767.jpg,49.00,"A simple staple  KG Kurt Geiger present the women's Match Metallic Sandals. Featuring patent T-bar ankle strap and buckle fastening. Complete with flat 1cm heel set upon a synthetic sole. - K.N.    KG Kurt Geiger women's Match Metallic Sandals  Upper  Lining and Sole: Synthetic  Patent T-bar ankle strap  Buckle fastening  Heel height: 1cm","KG Kurt Geiger Women's Match Metallic Sandals - Black",49.00,GBP49.00,"KG Kurt Geiger","UK 5/Eur 38",Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-match-metallic-sandals-black-uk-5/eur-38-uk-5/eur-38-black/10953282.html
3105206567,10953284,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206567&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/80/10953280-1404834121-942767.jpg,49.00,"A simple staple  KG Kurt Geiger present the women's Match Metallic Sandals. Featuring patent T-bar ankle strap and buckle fastening. Complete with flat 1cm heel set upon a synthetic sole. - K.N.    KG Kurt Geiger women's Match Metallic Sandals  Upper  Lining and Sole: Synthetic  Patent T-bar ankle strap  Buckle fastening  Heel height: 1cm","KG Kurt Geiger Women's Match Metallic Sandals - Black",49.00,GBP49.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-match-metallic-sandals-black-uk-7/eur-40-uk-7/eur-40-black/10953284.html
3105206593,10953287,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206593&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/85/10953285-1403712637-798618.jpg,49.00,"A simple staple  KG Kurt Geiger present the women's Match Metallic Sandals. Featuring patent toned T-bar ankle strap and buckle fastening. Complete with flat 1cm heel set upon a synthetic sole. - K.N.    KG Kurt Geiger women's Match Metallic Sandals  Upper  Lining and Sole: Synthetic  Patent T-bar ankle strap  Buckle fastening  Heel height: 1cm","KG Kurt Geiger Women's Match Metallic Sandals - Nude",49.00,GBP49.00,"KG Kurt Geiger","UK 5/Eur 38",Women,Nude,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-match-metallic-sandals-nude-uk-5/eur-38-uk-5/eur-38-nude/10953287.html
3105206547,10953289,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206547&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/85/10953285-1403712637-798618.jpg,49.00,"A simple staple  KG Kurt Geiger present the women's Match Metallic Sandals. Featuring patent toned T-bar ankle strap and buckle fastening. Complete with flat 1cm heel set upon a synthetic sole. - K.N.    KG Kurt Geiger women's Match Metallic Sandals  Upper  Lining and Sole: Synthetic  Patent T-bar ankle strap  Buckle fastening  Heel height: 1cm","KG Kurt Geiger Women's Match Metallic Sandals - Nude",49.00,GBP49.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Nude,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-match-metallic-sandals-nude-uk-7/eur-40-uk-7/eur-40-nude/10953289.html
