product_id,image_url,price,deeplink,product_name,brand,Colour,Full_merchant_price,description
20382,http://images.repertoirefashion.co.uk/images/products/medium/1409584964-25271200.jpg,149.25,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Hugo+Boss+Black+Shoes%2C+Black+Lace+Up+Derby+%27Neviol%27+Business+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/hugo-boss-black-shoes-black-lace-up-derby-neviol-business-shoes-p20382,"Hugo Boss Black Shoes, Black Lace Up Derby 'Neviol' Business Shoes","Hugo Boss Black",Black,199.00,"Men's shoes from Hugo Boss Black footwear range. Hugo Boss Black Shoes, Black Lace Up Derby 'Neviol' Business Shoes are ideal for wearing to work or for formal occasions. Lace up black shoes have a pointed rounded toe and decorative stitching. These smooth leather shoes have a leather lining and the signature logo is embossed on the side by the heel. Style them with a Poggianti shirt and Armani Jeans for a sophisticated look."
20383,http://images.repertoirefashion.co.uk/images/products/medium/1409584968-34137700.jpg,149.25,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Hugo+Boss+Black+Footwear%2C+Brown+Leather+Lace+Up+%27Casno%27+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/hugo-boss-black-footwear-brown-leather-lace-up-casno-shoes-p20383,"Hugo Boss Black Footwear, Brown Leather Lace Up 'Casno' Shoes","Hugo Boss Black",Brown,199.00,"Men's shoesfrom theHugo Boss Blackcollection.Hugo Boss Black Footwear, brown leather lace up 'Casno' shoes are a classic part of any man's wardrobe. These brown Boss shoes have a five hole lace up fastening with a rounded toe. Made from smooth calfskin, they have a leather lining and a rubber sole, making them a comfortable fit. Finished with the Hugo Boss logo embossed on the side. Wear the Casno to the office or for smart evenings out, team them with a pair of 7 For All Mankind jeans and aVivienne Westwoodpolo shirt to complete this classic look."
20570,http://images.repertoirefashion.co.uk/images/products/medium/1409585352-09803200.jpg,149.25,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Hugo+Boss+Black+Shoes%2C+Tan+Lace+Up+Derby+%27Neviol%27+Business+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/hugo-boss-black-shoes-tan-lace-up-derby-neviol-business-shoes-p20570,"Hugo Boss Black Shoes, Tan Lace Up Derby 'Neviol' Business Shoes","Hugo Boss Black",Tan,199.00,"Men's shoes from classic German designer, Hugo Boss Black. Men's Hugo Boss Black Footwear, Tan Lace Up 'Neviol' Shoes. Lace up tan shoes have a pointed rounded toe and decorative stitching. These smooth leather shoes have a leather lining and the signature logo is embossed on the side by the heel. Style these Hugo Boss Black shoes with aPoggiantishirt andArmani Jeansfor a sophisticated look."
20678,http://images.repertoirefashion.co.uk/images/products/medium/1410433749-84021700.jpg,186.75,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Jeffery+West+Shoes+Black+%27Ozil+O%27Toole%27+High+Shine+Business+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/jeffery-west-shoes-black-ozil-otoole-high-shine-business-shoes-p20678,"Jeffery West Shoes Black 'Ozil O'Toole' High Shine Business Shoes","Jeffery West Shoes",Black,249.00,"Men's shoes from Jeffery West. Jeffery West Black 'Ozil O'Toole' High Shine Business Shoes are a stylish business shoe for your wardrobe. N.B. Leather is a natural product and as such footwear is liable to mark. Small lines and distressed appearance are all a part of the character of the shoes. This will disappear or fade with cleaning. Due to hand finishing, neatness of stitching will vary. These black shoes have a two hole lace up fastening, a square toe with broguesing details on the toes and sides. They have a high shine patent finish with contrasting signature red lining and the sole features 'Do what tho wilt' with a devil on the sole. Wear with a Hugo Boss Black Enzo shirt with smart trousers for an office style."
20679,http://images.repertoirefashion.co.uk/images/products/medium/1410364029-64186500.jpg,141.75,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Jeffery+West+Shoes+Plum+High+Shine+%27Capone%27+Lace+Up+Apron+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/jeffery-west-shoes-plum-high-shine-capone-lace-up-apron-shoes-p20679,"Jeffery West Shoes Plum High Shine 'Capone' Lace Up Apron Shoes","Jeffery West Shoes","Brown > Red > Purple",189.00,"Men's shoesfrom luxury footwear designer,Jeffery West.These Jeffery West Shoes Plum High Shine 'Capone' Lace Up Apron Shoes features a square toe, perforated detail throughout and a four eyelet and lace up fastening. N.B. Leather is a natural product and as such footwear is liable to mark. Small lines and distressed appearance are all a part of the character of the shoes. This will disappear or fade with cleaning. Due to hand finishing, neatness of stitching will vary.They also feature the signature red interior lining and theJeffery Westbranded embossed into the sole. Wear thisJeffery West shoeswith a pair ofArmani Collezioni chino trousersand aRobert Graham shirt for a classic, sophisticated look."
20680,http://images.repertoirefashion.co.uk/images/products/medium/1410363930-68988700.jpg,141.75,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Jeffery+West+Shoes+Burgundy+High+Shine+%27Capone%27+Lace+Up+Apron+Shoes&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/footwear-c47/jeffery-west-shoes-burgundy-high-shine-capone-lace-up-apron-shoes-p20680,"Jeffery West Shoes Burgundy High Shine 'Capone' Lace Up Apron Shoes","Jeffery West Shoes","Brown > Red",189.00,"Men's shoes from luxury footwear designer, Jeffery West. These Jeffery West Shoes Burgundy High Shine 'Capone' Lace Up Apron Shoes features a square toe, perforated detail throughout and a four eyelet and lace up fastening. N.B. Leather is a natural product and as such footwear is liable to mark. Small lines and distressed appearance are all a part of the character of the shoes. This will disappear or fade with cleaning. Due to hand finishing, neatness of stitching will vary. They also feature the signature red interior lining and the Jeffery West branded embossed into the sole. Wear this Jeffery West shoes with a pair of Armani Collezioni chino trousers and a Robert Graham shirt for a classic, sophisticated look."
20718,http://images.repertoirefashion.co.uk/images/products/medium/1415892874-64721900.jpg,83.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=ASH+Footwear+Black+Metallic+Leather+Buckle+%27Virgin%27+Hi+Top+Trainers+&wgtarget=http://www.repertoirefashion.co.uk/designer-womenswear-c22/footwear-c86/ash-footwear-black-metallic-leather-buckle-virgin-hi-top-trainers-p20718,"ASH Footwear Black Metallic Leather Buckle 'Virgin' Hi Top Trainers","ASH Footwear",Black,139.00,"Women's trainersfromASH footwear. Ash Black Metallic Leather Buckle 'Virgin' Hi Top Trainers are a timeless staple for your wardrobe. Made from soft leather in black with a metallic sheen with a zip fastening and five adjustable silver buckles. They are comfortable yet stylish, wear them with a pair ofHudsonjeans, aBarbourjacket and accessorize with aTed Bakerhandbag for an effortless casual look."
20719,http://images.repertoirefashion.co.uk/images/products/medium/1410447675-91851500.jpg,83.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=ASH+Footwear+Perkish+Grey+Leather+Buckle+%27Virgin%27+Hi+Top+Trainers+&wgtarget=http://www.repertoirefashion.co.uk/designer-womenswear-c22/footwear-c86/ash-footwear-perkish-grey-leather-buckle-virgin-hi-top-trainers-p20719,"ASH Footwear Perkish Grey Leather Buckle 'Virgin' Hi Top Trainers","ASH Footwear",Grey,139.00,"Women's trainers from ASH footwear. ASH Perkish Grey Leather Buckle 'Virgin' Hi Top Trainers are a timeless staple for your wardrobe. Made from soft leather in perkish grey with a zip fastening and five adjustable silver buckles. They are comfortable yet stylish, wear them with a pair of Hudson jeans, a Barbour jacket and accessorise with a Ted Baker handbag for an effortless casual look."
20720,http://images.repertoirefashion.co.uk/images/products/medium/1410446290-05325900.jpg,89.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=ASH+Footwear+Black+Leather+Mid-Wedge+%27Genial%27+Trainers+&wgtarget=http://www.repertoirefashion.co.uk/designer-womenswear-c22/footwear-c86/ash-footwear-black-leather-mid-wedge-genial-trainers-p20720,"ASH Footwear Black Leather Mid-Wedge 'Genial' Trainers","ASH Footwear",Black,149.00,"Women's trainers from ASH footwear. ASH Black Leather Mid-Wedge 'Genial' Trainers are perfect for comfort as well as style, a timeless wardrobe staple. Made from soft leather with silver adjustable buckles, a zip fastening and a wedge heel. Detailed with a hand brushed distressed finish on the toe and sole for a 'worn' look. Wear them with Hudson jeans, a Patrizia Pepe jumper and accessorise with an Armani Jeans handbag for a casual look."
20721,http://images.repertoirefashion.co.uk/images/products/medium/1410448718-07361600.jpg,102.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=ASH+Footwear+Black+%27Victim%27+Studded+Hi+Top+Trainers&wgtarget=http://www.repertoirefashion.co.uk/designer-womenswear-c22/footwear-c86/ash-footwear-black-victim-studded-hi-top-trainers-p20721,"ASH Footwear Black 'Victim' Studded Hi Top Trainers","ASH Footwear",Black,170.00,"Women's trainers from ASH footwear. ASH Black 'Victim' Studded Hi Top Trainers are made from leather with a rubber sole. These black trainers have a zip fastening with four buckle stud straps. 'Victim' hi top trainers feature all-over stud detailing. Wear them with black Hudson jeans with a Barbour jumper for a cool casual look."
20723,http://images.repertoirefashion.co.uk/images/products/medium/1410444848-24024700.jpg,125.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=ASH+Footwear+Black+And+Camel+Leopard+Print+%27Brendy%27+Hi+Top+Trainers+&wgtarget=http://www.repertoirefashion.co.uk/designer-womenswear-c22/footwear-c86/ash-footwear-black-and-camel-leopard-print-brendy-hi-top-trainers-p20723,"ASH Footwear Black And Camel Leopard Print 'Brendy' Hi Top Trainers","ASH Footwear","Black > Beige",209.00,"Women's trainers from ASH footwear. ASH Black And Camel Leopard Print 'Brendy' Hi Top Trainers are a stylish staple for your wardrobe. A perfect way to add animal print to your look, these Brendy hi top trainers feature pony hair leopard print detailing. They have a black lace up fastening with a velcro band across the foot, a concealed wedged heel and a contrasting rubber sole. Team these trainers with a pair of skinny Paige jeans, a Day Birger et Mikkelsen top and a Belstaff jacket for a chic effortless style."
