aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,display_price,brand_name,custom_1,merchant_deep_link
3118707355,80987201,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707355&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80987201/80987201_rmedium.jpg,http://images.productserve.com/preview/2/5882/55/73/3118707355.jpg,119.99,"Ash Virgin buckle boots are a staple item for any woman who cares about style and comfort! Ash Virgin trainers continue to be a bestselling style season after season! Signature Ash styling details are the four buckles down the centre front and  one buckle around the heel. The buckles can  be adjusted to fit, for ease in  slipping on and off there is a side zip.","Ash - Virgin Nappa - Wax Black",GBP119.99,Ash,Womens,http://www.cloggs.co.uk/invt/80987201
3117697295,81043103,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117697295&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81043103/81043103_rmedium.jpg,http://images.productserve.com/preview/2/5882/95/72/3117697295.jpg,40,"This is a thong style sandal from Birkenstock with non-leather Birko Flor® uppers, designed for casual or formal attire. This sandal features Birkenstock's signature contoured cork/latex footbed, carefully shaped for utmost walking  comfort, as well  as an adjustable strap.","Birkenstock - Gizeh - Tango Red",GBP40,Birkenstock,Womens,http://www.cloggs.co.uk/invt/81043103
3118707365,81043304,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707365&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81043304/81043304_madrid_m.jpg,http://images.productserve.com/preview/2/5882/65/73/3118707365.jpg,32,"This is Birkenstock's bestselling single strap style in their fashionable range of Birko Flor® uppers. Birko Flor® is a material developed by Birkenstock as an alternative to leather - made of soft acrylic and polyamide felt fibres with a durable  smooth leather-like finish. Featuring adjustable strap, contoured cork/latex footbed and shock absorbing EVA sole","Birkenstock - Madrid  - Blue",GBP32,Birkenstock,Womens,http://www.cloggs.co.uk/invt/81043304
3118707367,80848601,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707367&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80848601/80848601_rmedium.jpg,http://images.productserve.com/preview/2/5882/67/73/3118707367.jpg,39.99,"This is Birkenstock's bestselling single strap style in their fashionable range of Birko Flor® uppers. Birko Flor® is a material developed by Birkenstock as an alternative to leather - made of soft acrylic and polyamide felt fibres with a  durable  smooth leather-like finish. Featuring  adjustable  strap, contoured cork/latex footbed and shock absorbing EVA sole","Birkenstock - Madrid - White Patent",GBP39.99,Birkenstock,Womens,http://www.cloggs.co.uk/invt/80848601
3117697987,81157501,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117697987&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81157501/81157501_rmedium.jpg,http://images.productserve.com/preview/2/5882/87/79/3117697987.jpg,29.99,"The Chelsea Boot trend is back for another year and you can get hold of a pair here without breaking the bank! Available in Tan or Black and featuring the elastic side panel and pull loops at the rear, these are the  boots to buy if youre a fan of  this classic look. For an Alexa  Chung  inspired look this winter, wear these boots with a pair of skinny jeans, and an oversized winter jumper.","Chelsea Boot - Black",GBP29.99,"Everyday Collection",Womens,http://www.cloggs.co.uk/invt/81157501
3117698121,81203601,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117698121&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81203601/81203601_rmedium.jpg,http://images.productserve.com/preview/2/5882/21/81/3117698121.jpg,29.99,"The Everyday Collection Chelsea Boot is our take on the classic Chelsea Boot. The Chelsea Boot trend is back for another year and it doesnt look like its going anywhere anytime soon, so for any of the fashion followers out there,  the Chelsea  Boot is a must-have! This style  comes with  a suede effect upper, a rear pull on loop and the  classic elasticated sides which are a staple feature on Chelsea Boots. For an Alexa Chung inspired look this winter, wear  these boots with a pair of skinny  jeans, and an oversized winter jumper.","Chelsea Boot Suede - Black",GBP29.99,"Everyday Collection",Womens,http://www.cloggs.co.uk/invt/81203601
3117697989,81157502,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117697989&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81157502/81157502_rmedium.jpg,http://images.productserve.com/preview/2/5882/89/79/3117697989.jpg,29.99,"The Chelsea Boot trend is back for another year and you can get hold of a pair here without breaking the bank! Available in Tan or Black and featuring the elastic side panel and pull loops at the rear, these are the  boots to buy if youre a fan of  this classic look. For an Alexa  Chung  inspired look this winter, wear these boots with a pair of skinny jeans, and an oversized winter jumper.","Chelsea Boot - Tan",GBP29.99,"Everyday Collection",Womens,http://www.cloggs.co.uk/invt/81157502
3118707393,81061703,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707393&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81061703/81061703-1461--Eye-Hot-Pink-Patent_m.jpg,http://images.productserve.com/preview/2/5882/93/73/3118707393.jpg,35,"This original style is revitalised with white uppers for this season. This is Dr Martens classic 1461 3-eye shoe featuring patent uppers, Yellow stitch detail and an air cushion sole for added comfort.","Dr Martens - 1461 3 Eye Shoe - Hot Pink Patent  Lamper",GBP35,"Dr Martens",Womens,http://www.cloggs.co.uk/invt/81061703
3118707441,jh8,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707441&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/jh8/jh8_rmedium.jpg,http://images.productserve.com/preview/2/5882/41/74/3118707441.jpg,95,"Almost a year in development Hakes has been working to refine every delicate, sculptural curve and twist to make this a very light, comfortable and  elegant shoe.","Julian Hakes - Mojito Shoe Classic - Black / Lime Green",GBP95,"Julian Hakes",Womens,http://www.cloggs.co.uk/invt/jh8
3118707443,jh4,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707443&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/jh4/jh4_rmedium.jpg,http://images.productserve.com/preview/2/5882/43/74/3118707443.jpg,95,"Almost a year in development Hakes has been working to refine every delicate, sculptural curve and twist to make this a very light, comfortable and  elegant shoe.","Julian Hakes - Mojito Shoe Classic - Black / Pewter",GBP95,"Julian Hakes",Womens,http://www.cloggs.co.uk/invt/jh4
3118707445,jh14,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707445&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/jh14/jh14_rmedium.jpg,http://images.productserve.com/preview/2/5882/45/74/3118707445.jpg,95,"Almost a year in development Hakes has been working to refine every delicate, sculptural curve and twist to make this a very light, comfortable and  elegant shoe.","Julian Hakes - Mojito Shoe Classic - Black / Red",GBP95,"Julian Hakes",Womens,http://www.cloggs.co.uk/invt/jh14
3117697977,81157107,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117697977&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81157107/81157107_mojito_m.jpg,http://images.productserve.com/preview/2/5882/77/79/3117697977.jpg,95,"Almost a year in development Hakes has been working to refine every delicate, sculptural curve and twist to make this a very light, comfortable and elegant shoe.","Julian Hakes - Mojito Shoe Classic - Red / Bronze",GBP95,"Julian Hakes",Womens,http://www.cloggs.co.uk/invt/81157107
3168244721,909914987,"Women's Footwear",http://www.awin1.com/pclick.php?p=3168244721&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/909914987/909914987_rmedium.jpg,http://images.productserve.com/preview/2/5882/21/47/3168244721.jpg,55,,"Bronx - Chunky Tassel Loafer Womens - Black",GBP55,Bronx,Womens,http://www.cloggs.co.uk/invt/909914987
3118707453,81234003,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707453&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81234003/81234003_rmedium.jpg,http://images.productserve.com/preview/2/5882/53/74/3118707453.jpg,95,"To simply put it, these are head turning shoes. Almost 2 years in development Julian Hakes has been working to refine every delicate, sculptural curve and twist to make this a very light, comfortable and elegant design.","Julian Hakes - Mojito Shoe Matte - Matt Lime Green / Fuchsia",GBP95,"Julian Hakes",Womens,http://www.cloggs.co.uk/invt/81234003
3117696989,80971801,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117696989&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80971801/80971801_caribou-blk_m.jpg,http://images.productserve.com/preview/2/5882/89/69/3117696989.jpg,125,"The original and best. Since 1972, the Sorel Caribou has earned its reputation for warmth, durability and comfort the hard way: by protecting the feet of millions of Sorel customers through deep snow, harsh storms and the biting cold of long winters.","Sorel - Caribou - Black / Stone",GBP125,Sorel,Womens,http://www.cloggs.co.uk/invt/80971801
3117696843,80890101,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117696843&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80890101/80890101_rmedium.jpg,http://images.productserve.com/preview/2/5882/43/68/3117696843.jpg,144.99,"The original and best. Since 1972, the Sorel Caribou has earned its reputation for warmth, durability and comfort the hard way: by protecting the feet of millions of Sorel customers through deep snow, harsh storms and the biting cold of long  winters.","Sorel - Caribou Womens - Buff",GBP144.99,Sorel,Womens,http://www.cloggs.co.uk/invt/80890101
