product_id,image_url,price,deeplink,product_name,brand,Colour,Full_merchant_price,gender,description
38359,http://images.diffusiononline.co.uk/images/products/medium/1410275885-59775500.jpg,36.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Reversible+Men%27s+Stripe+Edge+Scarf+Black&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/paul-smith-reversible-mens-stripe-edge-scarf-black-p38359,"Reversible Men's Stripe Edge Scarf Black","Paul Smith","Black > Multi",65.00,Male,"Long woolen scarf by Paul Smith, featuring classic stripe design on edging."
38361,http://images.diffusiononline.co.uk/images/products/medium/1410273475-04345100.jpg,36.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=College+Stripe+Men%27s+Wool+Scarf+Black&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/paul-smith-college-stripe-mens-wool-scarf-black-p38361,"College Stripe Men's Wool Scarf Black","Paul Smith","Black > Multi",65.00,Male,"Long woollen scarf by Paul Smith, featuring tassels on end."
38362,http://images.diffusiononline.co.uk/images/products/medium/1410277738-75174600.jpg,75.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Fine+Wool+Men%27s+Sig+Stripe+Scarf+Multi&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/paul-smith-fine-wool-mens-sig-stripe-scarf-multi-p38362,"Fine Wool Men's Sig Stripe Scarf Multi","Paul Smith",Multi,135.00,Male,"Classic men's scarf by Paul Smith, featuring all over stripe design."
38363,http://images.diffusiononline.co.uk/images/products/medium/1410274338-92159100.jpg,53.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Signature+Stripe+Men%27s+Scarf+Brown&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/paul-smith-signature-stripe-mens-scarf-brown-p38363,"Signature Stripe Men's Scarf Brown","Paul Smith","Black > Multi > Brown",95.00,Male,"Long scarf by Paul Smith, featuring classic stripes."
38461,http://images.diffusiononline.co.uk/images/products/medium/1410944675-19553900.jpg,25.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Large+Tattersall+Men%27s+Wool+Scarf+Red&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-large-tattersall-mens-wool-scarf-red-p38461,"Large Tattersall Men's Wool Scarf Red",Barbour,"Red > Grey > Beige",25.00,Male,"Long cubed scarf by Barbour, featuring tassels on end."
38462,http://images.diffusiononline.co.uk/images/products/medium/1410948718-67482400.jpg,25.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Large+Tattersall+Men%27s+Wool+Scarf&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-large-tattersall-mens-wool-scarf-p38462,"Large Tattersall Men's Wool Scarf",Barbour,"Black > Grey",25.00,Male,"Long cubed scarf by Barbour, featuring tassels on end."
38463,http://images.diffusiononline.co.uk/images/products/medium/1410947595-60847600.jpg,29.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Tartan+Men%27s+Lambswool+Scarf+Beige&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-tartan-mens-lambswool-scarf-beige-p38463,"Tartan Men's Lambswool Scarf Beige",Barbour,"Black > Brown > Beige",29.00,Male,"Tartan long scarf by Barbour, featuring tassels on end."
38464,http://images.diffusiononline.co.uk/images/products/medium/1410947260-14140100.jpg,29.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Tartan+Men%27s+Lambswool+Scarf+Grey&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-tartan-mens-lambswool-scarf-grey-p38464,"Tartan Men's Lambswool Scarf Grey",Barbour,Grey,29.00,Male,"Tartan long scarf by Barbour, featuring tassels on end."
38465,http://images.diffusiononline.co.uk/images/products/medium/1410948010-22734100.jpg,29.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Tartan+Men%27s+Lambswool+Scarf+Olive&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-tartan-mens-lambswool-scarf-olive-p38465,"Tartan Men's Lambswool Scarf Olive",Barbour,"Green > Khaki > Olive",29.00,Male,"Tartan long scarf by Barbour, featuring tassels on end."
38466,http://images.diffusiononline.co.uk/images/products/medium/1410945209-86734600.jpg,29.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5109&product=1&wglinkid=170496&productname=Tartan+Men%27s+Lambswool+Scarf+Green&wgtarget=http://www.diffusiononline.co.uk/men-c2/accessories-c31/scarves-c54/barbour-tartan-mens-lambswool-scarf-green-p38466,"Tartan Men's Lambswool Scarf Green",Barbour,"Green > Khaki > Olive > Beige",29.00,Male,"Tartan long scarf by Barbour, featuring tassels on end."
