aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,warranty,specifications,merchant_deep_link
3124771471,8602433570,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3124771471&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/860243/8602433570_main.jpg,37.00,"The adidas Flux range add a new addition to the family with the ZX Flux for kids. The super bright pink model is made with a fabric upper which features contrasting black accents via simplified iconic 3-stripe branding whilst a white sole finishes.  Fabric upper & lining  Man-made accents Torsion system technology  Rubber outsole","kids  adidas  pink zx flux girls junior",37.00,GBP37.00,Adidas,"uk 10 |uk 11 |uk 12 |uk 13",Pink,http://www.schuh.co.uk/kids/junior-adidas-zx-flux-pink-trainers/8602433570/
3121944441,8702523560,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3121944441&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/870252/8702523560_main.jpg,24.99,"Your kids will fall in love with these super cool hi-tops from adidas. The Nizza Hi lands in a pretty pink colourway with contrasting white 3-stripe branding on the man-made upper whilst a leopard print lining finishes the fun look.  Fabric upper & lining Ortholite insole Rubber sole unit","kids  adidas  pink nizza hi girls youth",37.00,GBP24.99,Adidas,"uk 3 |uk 4 |uk 5",Pink,http://www.schuh.co.uk/kids/youth-adidas-nizza-hi-pink-trainers/8702523560/
3156558947,1920073250,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3156558947&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/192007/1920073250_main.jpg,34.99,"Catch yourself a corker with this Honey Hook from adidas, as it arrives in a rich burgundy suede to tempt you in the new season. Featuring a faux-shearling lining, these hi-tops will see you right through autumn/winter in comfort and style.  Suede upper Faux-shearling lining Rubber outsole","womens  adidas  burgundy honey hook trainers",57.00,GBP34.99,Adidas,"uk 4 |uk 5 |uk 6 |uk 7",Burgundy,http://www.schuh.co.uk/womens/adidas-honey-hook-burgundy-trainers/1920073250/
3184898913,3400774050,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3184898913&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340077/3400774050_main.jpg,60.00,"There's something Spezial about this classic adidas silhouette - we can't quite put our finger on it. Could it be the retro styles green suede upper, orange accents, white 3-stripes or the gold foil branding? A comfy white rubber sole unit finishes.  Suede upper Fabric lining Rubber outsole","mens  adidas  green spezial trainers",60.00,GBP60.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |uk 13",Green,http://www.schuh.co.uk/mens/adidas-spezial-green-trainers/3400774050/
3136680925,3402305350,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3136680925&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340230/3402305350_main.jpg,41.99,"Continuing the success of the retro running revival, adidas reissue their City Marathon PT running trainer, a favourite of the 90s. Arriving in pale blue suede, a breathable fabric underlay and chunky webbed EVA midsole ensures a comfortable finish.  Suede & fabric upper Fabric lining EVA midsole Rubber sole unit","mens  adidas  pale blue city marathon pt trainers",72.00,GBP41.99,Adidas,"uk 7 |uk 9 |uk 11 |uk 12","Pale Blue",http://www.schuh.co.uk/mens/adidas-city-marathon-pt-pale-blue-trainers/3402305350/
3162168597,3400937070,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3162168597&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340093/3400937070_main.jpg,80.00,"A re-issued version of the 80's ZX 8000 runner classic, the ZX Flux gets an update for Winter. Arriving in a black Cordura woven upper, the adidas style features TPU 3-Stripes and heel cage, and an authentic ZX 8000 sole. Branding finishes.  Cordura woven upper Fabric lining  Elasticated Ghillie lacing  TORSION midsole  Rubber outsole","mens  adidas  black zx flux winter trainers",80.00,GBP80.00,Adidas,"uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |uk 13",Black,http://www.schuh.co.uk/mens/adidas-zx-flux-winter-black-trainers/3400937070/
3166221153,3404443250,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3166221153&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340444/3404443250_main.jpg,75.00,"From its '70s debut to its '80s rebirth, the adidas Superstar 80 has proved it can well and truly stand the test of time. Arriving in a burgundy suede upper, white 3-Stripe branding creates texture whilst an off-white rubber toe cap finishes.  Suede upper  Fabric lining  Rubber toe cap Cupsole","mens  adidas  burgundy superstar 80 trainers",75.00,GBP75.00,Adidas,"uk 8 |uk 9 |uk 10 |uk 11",Burgundy,http://www.schuh.co.uk/mens/adidas-superstar-80-burgundy-trainers/3404443250/
3192915999,5602664350,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3192915999&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/560266/5602664350_main.jpg,35.00,"For a vintage style with a premium edge for your kids, look no further than the adidas LA Trainer. Arriving in a navy, deep teal and red colourway; a suede upper with fabric underlays create a textured look. White branding gives an authentic finish.  Suede & fabric upper  Ortholite insole  EVA rubber sole unit","kids  adidas  multi la trainer boys junior",35.00,GBP35.00,Adidas,"uk 10 |uk 11 |uk 12 |uk 13 |uk 1 |uk 2",Multi,http://www.schuh.co.uk/kids/junior-adidas-la-trainer-navy-and-red-trainers/5602664350/
3182502247,3404842050,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3182502247&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340484/3404842050_main.jpg,70.00,"adidas prove why they are masters of sporting style with the iconic 70s Hamburg silhouette. The yellow suede men's trainer features classic 3-stripe branding in black, with a comfortable rubber gum sole for a retro finish.  Suede upper Fabric lining Ortholite insole","mens  adidas  yellow hamburg trainers",70.00,GBP70.00,Adidas,"uk 7 |uk 11",Yellow,http://www.schuh.co.uk/mens/adidas-hamburg-yellow-trainers/3404842050/
3113771387,3434593250,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3113771387&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/343459/3434593250_main.jpg,62.00,"The brand with the 3 stripes brings us the Culver Mid to show how contemporary skate-style footwear is done. The burgundy-brown, suede upper features white, navy and colour-popping orange accents. A chunky white sole unit finishes.  Suede upper Padded ankle cuff Vulcanised sole unit","mens  adidas  burgundy culver mid trainers",62.00,GBP62.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11",Burgundy,http://www.schuh.co.uk/mens/adidas-culver-mid-burgundy-trainers/3434593250/
