aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,merchant_deep_link
3104231349,0813783,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3104231349&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081378.jpg,http://images.productserve.com/preview/2/2832/49/13/3104231349.jpg,49.99,"NIKE N98 Track Top Green / White","N98 Track Top",49.99,GBP49.99,Nike,http://www.footasylum.com/nike-n98-track-top-081378/
3152433059,0816315,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3152433059&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081631.jpg,http://images.productserve.com/preview/2/2832/59/30/3152433059.jpg,59.99,"NIKE F.C. Poly Track Top Black","F.C. Poly Track Top",59.99,GBP59.99,Nike,http://www.footasylum.com/nike-fc-poly-track-top-081631/
3109554827,0815913,"Mens,Mens Clothing,Vests",http://www.awin1.com/pclick.php?p=3109554827&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081591.jpg,http://images.productserve.com/preview/2/2832/27/48/3109554827.jpg,24.99,"NIKE Basketball Pivot Tank Top White / Green","Basketball Pivot Tank Top",24.99,GBP24.99,Nike,http://www.footasylum.com/nike-basketball-pivot-tank-top-081591/
3123493675,0815185,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3123493675&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081518.jpg,http://images.productserve.com/preview/2/2832/75/36/3123493675.jpg,34.99,"NIKE AW77 Alumni Short Grey","AW77 Alumni Short",34.99,GBP34.99,Nike,http://www.footasylum.com/nike-aw77-alumni-short-081518/
3107122737,0814613,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3107122737&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081461.jpg,http://images.productserve.com/preview/2/2832/37/27/3107122737.jpg,19.99,"NIKE Flow Team Short Obsidian / Red","Flow Team Short",29.99,GBP19.99,Nike,http://www.footasylum.com/nike-flow-team-short-081461/
3104231355,0814563,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3104231355&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081456.jpg,http://images.productserve.com/preview/2/2832/55/13/3104231355.jpg,19.99,"NIKE Flow Team Short Black / White","Flow Team Short",29.99,GBP19.99,Nike,http://www.footasylum.com/nike-flow-team-short-081456/
3049531737,0764523,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3049531737&a=166012&m=2832,http://www.footasylum.com/images/products/medium/076452.jpg,http://images.productserve.com/preview/2/2832/37/17/3049531737.jpg,19.99,"NIKE Elite Stripe Short Grey","Elite Stripe Short",29.99,GBP19.99,Nike,http://www.footasylum.com/nike-elite-stripe-short-076452/
3094399861,0814462,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3094399861&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081446.jpg,http://images.productserve.com/preview/2/2832/61/98/3094399861.jpg,39.99,"NIKE Basketball Hybrid Short Grey / Black","Basketball Hybrid Short",39.99,GBP39.99,Nike,http://www.footasylum.com/nike-basketball-hybrid-short-081446/
3124130783,0841523,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3124130783&a=166012&m=2832,http://www.footasylum.com/images/products/medium/084152.jpg,http://images.productserve.com/preview/2/2832/83/07/3124130783.jpg,74.99,"NIKE Pivot Hooded Top Grey","Pivot Hooded Top",74.99,GBP74.99,Nike,http://www.footasylum.com/nike-pivot-hooded-top-084152/
3105883467,0815023,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3105883467&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081502.jpg,http://images.productserve.com/preview/2/2832/67/34/3105883467.jpg,34.99,"NIKE Tribute Short Blue","Tribute Short",34.99,GBP34.99,Nike,http://www.footasylum.com/nike-tribute-short-081502/
