aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,display_price,brand_name,merchant_deep_link
3168445347,P199025,"Accessories > Travel > Luggage",http://www.awin1.com/pclick.php?p=3168445347&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/valise-4-roues-72cm-bleue-vapor-tumi-bleu-pvc-valises-199025_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/47/53/3168445347.jpg,313.00,"4-wheel suitcase - Inner pocket - Exterior logo - Zip fastening - Shock absorbers - 3-position telescoping handle - Retractable handle - Inner divider - 71 x 44.5 x 29 cm - 100% Alliage polycarbonate - Lining 100% polyester","Vapor 72cm Blue 4-wheel Suitcase",GBP313.00,Tumi,http://tracking.lengow.com/shortUrl/402-68684-P199025/
3064016223,P106971,"Accessories > Travel > Luggage",http://www.awin1.com/pclick.php?p=3064016223&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/106971_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/23/62/3064016223.jpg,591.00,"Black Lightweight Medium 4-Wheel Packing Case by Tumi - External dimensions (including handle and wheels): 71 x 44.5 x 30.5 cm - Solid luggage -  - External features:  - Zipped U-shaped fastening - Zipped pocket - 4 wheels - Telescopic and retractable handle - Anti-shock protection system - Ballistic nylon made of polypropylene - Address card compartment -  - Internal features: - Zipped pockets made of mesh - Accessory pockets - Detachable garment cover with patented suspension system - Fixed straps -","Black Lightweight Medium 4-Wheel Packing Case",GBP591.00,Tumi,http://tracking.lengow.com/shortUrl/402-68684-P106971/
3179608583,P184594,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3179608583&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/pack-bonnet-echarpe-noir-wrangler-noir-bonnets-184594_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/83/85/3179608583.jpg,28.20,"Cuff beanie - Simple weave - Plain beanie - Logo on front - Dimension of scarf: 180 x 43cm - 64% cotton 29% polyamide 7% wool","Black Beanie and Scarf Pack",GBP28.20,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184594/
3179608585,P184595,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3179608585&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/pack-bonnet-echarpe-gris-wrangler-gris-bonnets-184595_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/85/85/3179608585.jpg,28.20,"Cuff beanie - Ribbed fabric - Simple weave - Plain beanie - Logo on front - Dimension of scarf: 180 x 43cm - 64% cotton 29% polyamide 7% wool","Grey Beanie and Scarf Pack",GBP28.20,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184595/
3064018479,P113963,"Clothing > Coats & Jackets > Parkas",http://www.awin1.com/pclick.php?p=3064018479&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/113963_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/79/84/3064018479.jpg,86.10,"Field Dark Khaki Parka by WRANGLER - Straight - regular cut - Concealed zip fastening under stud-press button flap - 2 buttoned flap patch pockets on breast - 2 double stud-press button patch pockets on front - 2 buttoned tabs on shoulders and cuffs - 1 mobile phone-specific pocket - Exterior: 100% cotton - Lining: 100% cotton","Field Dark Khaki Parka",GBP86.10,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P113963/
3064018441,P113847,"Accessories > Belts & Braces > Belts",http://www.awin1.com/pclick.php?p=3064018441&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/ceinture-marron-cloutee-rivet-wrangler-marron-cuir-ceintures-113847_0.jpg?sw=600,http://images.productserve.com/preview/7/5687/41/84/3064018441.jpg,33.60,"Rivet Brown Studded Belt by Wrangler - Steel buckle - Brown leather belt with rivets - Embossed logo - Width: 4cm - 100% leather","Rivet Brown Studded Belt",GBP33.60,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P113847/
3179608589,P184738,"Clothing > Coats & Jackets > Parkas",http://www.awin1.com/pclick.php?p=3179608589&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/parka-fourree-kaki-the-blizzard-wrangler-kaki-parkas-184738_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/89/85/3179608589.jpg,104.40,"Fixed hood - Lined hood - High collar - Quilted lining - Zip fastening - Button fastening - Double fastening - Zip pockets - Button-down pockets - Piped pockets - Flap pockets - Inner pocket - Adjustable cuffs - Logo on sleeve - Synthetic-fur hood trim - Drawstring tie to tighten hood - 100% cotton - Lining: 100% polyamide - Hood: 100% polyester - Quilting: 100% polyester","The Blizzard Khaki Lined Parka",GBP104.40,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184738/
3149987029,P184593,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3149987029&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/pack-bonnet-echarpe-gris-chine-wrangler-gris-coton-bonnets-184593_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/29/70/3149987029.jpg,28.20,"Plain knit - Block colour beanie - Grey and white marl knit -  - Scarf: 65 x 180 cm -  - 100% cotton","Pack Grey Marl Beanie and Scarf",GBP28.20,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184593/
3145770227,P184577,"Accessories > Belts & Braces > Belts",http://www.awin1.com/pclick.php?p=3145770227&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/ceinture-noire-wrangler-wrangler-noir-cuir-ceintures-184577_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/27/02/3145770227.jpg,20.00,"Belt with buckle fastening - Block colour - Single loop - Width: 4 cm - 100% cow leather - Made in Europe","Black Wrangler Belt",GBP20.00,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184577/
3179608587,P184596,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3179608587&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/pack-bonnet-echarpe-marine-wrangler-bleu-bonnets-184596_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/87/85/3179608587.jpg,28.20,"Cuff beanie - Simple weave - Plain beanie - Logo on front - Dimension of scarf: 180 x 43cm - 64% cotton 29% polyamide 7% wool","Navy Beanie and Scarf Pack",GBP28.20,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184596/
